,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status,energy_used,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe
0,lfw/Doug_Melvin/Doug_Melvin_0001.jpg,lfw/Doug_Melvin/Doug_Melvin_0002.jpg,True,True,0.34261518716812134,0.3426151872,11.848955869674683,6.624933958053589,5.224021911621094,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.70,0.40,34%,0:06.17,0,0,0,0,157924,0,18,64451,57679,20,0,3168,0,0,0,0,4096,0,0,56.3420000000,49.6450000000,37.4090000000,1.4360000000,1.2380000000,0.6090000000,1.0700000000,1.1520000000,0.5880000000,1.3570000000,1.0830000000,1.0790000000,1.3940000000,1.0870000000,7.2570000000,3136.1340000001,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,5390.4950000000,0.1000000000,0.4140000000,70.1410000000,22.2820000000,2086.4830000000,2083.9150000000,0.0040000000,3304.0110000000,19986910,19986398,10532,10523,19437193,19437193,19437193,19437193,0,0,549717,549205,0.3426151872,0.3426151872
1,lfw/Doug_Melvin/Doug_Melvin_0001.jpg,lfw/Doug_Melvin/Doug_Melvin_0003.jpg,True,True,0.2729891538619995,0.2729891539,8.549599647521973,6.6241419315338135,1.9254577159881592,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.76,0.41,35%,0:06.17,0,0,0,0,157736,0,0,64459,57913,22,0,0,0,0,0,0,4096,0,0,47.9010000000,47.7580000000,38.3000000000,1.6340000000,1.1520000000,0.7120000000,1.2610000000,1.1210000000,0.6750000000,1.5020000000,1.2110000000,1.6560000000,1.3720000000,1.0800000000,8.6450000000,3107.5180000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,5363.8110000000,0.0990000000,0.1380000000,118.1600000000,22.9390000000,2094.4560000000,2091.7520000000,0.0040000000,3269.3530000000,19986910,19986398,10532,10532,19437193,19443794,19437193,19443794,0,0,549717,542604,0.2729891539,0.2729891539
2,lfw/Doug_Melvin/Doug_Melvin_0001.jpg,lfw/Valeri_Bure/Valeri_Bure_0001.jpg,False,False,1.0562105812132359,1.0562106371,8.479039430618286,6.557420253753662,1.921619176864624,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.78,0.37,35%,0:06.08,0,0,0,0,157704,0,0,64454,58057,101,0,0,0,0,0,0,4096,0,0,47.2110000000,48.2890000000,38.5080000000,1.4610000000,1.1420000000,0.6880000000,1.1400000000,1.0330000000,0.5440000000,1.3650000000,1.0790000000,1.5160000000,1.1500000000,1.1060000000,7.2710000000,3198.8140000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,5400.1920000000,0.1120000000,0.1400000000,4.8060000000,20.6050000000,2041.8210000000,2039.3400000000,0.0040000000,3358.3690000000,19986910,19986398,10532,10532,19437193,19443794,19437193,19437202,0,0,549717,542604,1.0562106371,1.0562106371
3,lfw/Doug_Melvin/Doug_Melvin_0001.jpg,lfw/Kelli_White/Kelli_White_0001.jpg,False,False,0.8649986088275909,0.8649986386,8.803097009658813,6.871710300445557,1.9313867092132568,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.72,0.35,32%,0:06.37,0,0,0,0,157892,0,0,64458,57449,1664,0,0,0,0,0,0,4096,0,0,42.0440000000,45.6310000000,34.6030000000,1.4880000000,0.9310000000,0.4910000000,1.0590000000,1.0250000000,0.4670000000,1.3450000000,0.9630000000,1.1030000000,1.0080000000,1.1400000000,5.9240000000,3062.7820000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,5275.5970000000,0.1020000000,0.1260000000,411.0820000000,24.6970000000,2068.1520000000,2065.5190000000,0.0040000000,3207.4430000000,19986910,19986398,10532,10532,19437193,19443794,19437193,19437194,0,0,549717,542604,0.8649986386,0.8649986386
0,lfw/Drew_Barrymore/Drew_Barrymore_0001.jpg,lfw/Drew_Barrymore/Drew_Barrymore_0002.jpg,False,True,0.8493960797786713,0.8493959904,8.380018711090088,6.451941013336182,1.9280776977539062,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.72,0.35,34%,0:06.01,0,0,0,0,157920,0,0,64459,57360,10,0,0,0,0,0,0,4096,0,0,47.7190000000,48.1890000000,35.8490000000,1.3970000000,1.0800000000,0.6620000000,1.1420000000,1.0300000000,0.5090000000,1.3330000000,1.0410000000,0.9900000000,1.1560000000,1.0860000000,6.5200000000,3077.0820000001,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,5328.5270000000,0.1080000000,0.1220000000,6.8610000000,22.1830000000,2095.8860000000,2093.4300000000,0.0050000000,3232.6410000000,19986910,19986398,10532,10523,19437193,19443794,19437193,19443794,0,0,549717,542604,0.8493959904,0.8493959904
1,lfw/Drew_Barrymore/Drew_Barrymore_0001.jpg,lfw/Robin_McGraw/Robin_McGraw_0001.jpg,False,False,0.8141839355230331,0.8141838908,8.32261610031128,6.3900182247161865,1.9325978755950928,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.73,0.34,34%,0:05.98,0,0,0,0,157936,0,0,64461,57720,2061,0,0,0,0,0,0,4096,0,0,43.1340000000,42.0800000000,34.9170000000,1.2850000000,0.9270000000,0.5160000000,0.8940000000,0.8830000000,0.5400000000,1.2770000000,0.9270000000,1.2950000000,1.0370000000,0.9900000000,6.4430000000,3068.2500000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,5251.6800000000,0.0980000000,0.1220000000,46.3450000000,21.3970000000,2041.6690000000,2039.0410000000,0.0040000000,3210.0090000000,19986910,19986398,10532,10523,19437193,19443794,19437193,19443794,0,0,549717,542604,0.8141838908,0.8141838908
0,lfw/Duane_Lee_Chapman/Duane_Lee_Chapman_0001.jpg,lfw/Duane_Lee_Chapman/Duane_Lee_Chapman_0002.jpg,True,True,0.5301993489265442,0.5301992893,8.392500877380371,6.467493057250977,1.9250078201293945,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.69,0.32,33%,0:06.03,0,0,0,0,157864,0,0,64455,57526,7,0,0,0,0,0,0,4096,0,0,42.4390000000,45.0580000000,33.6560000000,1.3930000000,1.0520000000,0.4590000000,1.0420000000,0.9160000000,0.3820000000,1.2540000000,0.9540000000,1.1090000000,1.0330000000,1.1860000000,6.0840000000,3069.1360000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,5310.1890000000,0.1020000000,0.1250000000,22.8900000000,19.0140000000,2098.4870000000,2096.0850000000,0.0040000000,3211.7000000000,19986910,19986398,10532,10532,19437193,19443794,19437193,19443794,0,0,549717,542604,0.5301992893,0.5301992893
1,lfw/Duane_Lee_Chapman/Duane_Lee_Chapman_0001.jpg,lfw/Robert_Vowler/Robert_Vowler_0001.jpg,False,False,0.9586036019027233,0.9586036205,8.422769546508789,6.503033638000488,1.9197359085083008,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.76,0.28,33%,0:06.06,0,0,0,0,157920,0,0,64458,57511,15,0,0,0,0,0,0,4096,0,0,45.0160000000,44.5180000000,35.0750000000,1.3220000000,0.9740000000,0.5210000000,0.9770000000,0.9870000000,0.5070000000,1.2490000000,0.9740000000,1.2220000000,1.0960000000,0.9670000000,6.8380000000,3055.2030000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,5339.5140000000,0.1040000000,0.1310000000,48.0890000000,21.7680000000,2137.0820000000,2134.6220000000,0.0050000000,3202.4310000000,19986910,19986398,10532,10532,19437193,19443794,19437193,19443794,0,0,549717,542604,0.9586036205,0.9586036205
0,lfw/Dwayne_Johnson/Dwayne_Johnson_0001.jpg,lfw/Dwayne_Johnson/Dwayne_Johnson_0002.jpg,True,True,0.13888508081436157,0.1388850212,8.55270791053772,6.63808536529541,1.9146225452423096,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.70,0.37,33%,0:06.27,0,0,0,0,157940,0,0,64462,57137,17,0,0,0,0,0,0,4096,0,0,47.8410000000,48.3450000000,37.4080000000,1.5790000000,1.0200000000,0.4550000000,0.9690000000,1.0810000000,0.4690000000,1.3550000000,0.9910000000,1.1080000000,1.0660000000,1.0290000000,6.3170000000,3206.3730000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,5481.4890000000,0.1020000000,0.1200000000,114.0750000000,22.1200000000,2119.0220000000,2116.2940000000,0.0030000000,3362.4660000000,19986910,19986398,10532,10532,19437193,19443794,19437193,19437193,0,0,549717,542604,0.1388850212,0.1388850212
1,lfw/Dwayne_Johnson/Dwayne_Johnson_0001.jpg,lfw/Tim_Duncan/Tim_Duncan_0002.jpg,False,False,0.8546419739723206,0.8546419144,8.960676193237305,7.025026082992554,1.935650110244751,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",2.01,0.44,37%,0:06.56,0,0,0,0,157704,0,0,64457,57616,25,0,0,0,0,0,0,4096,0,0,69.4170000000,74.6550000000,61.1840000000,2.3660000000,1.7460000000,1.2450000000,1.9190000000,1.7640000000,1.0130000000,2.3170000000,1.8030000000,2.1570000000,2.1490000000,1.6770000000,12.6110000000,3510.2030000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,5832.3540000000,0.1120000000,0.1430000000,43.1600000000,22.9080000000,2075.8060000000,2073.0070000000,0.0040000000,3756.5470000000,19986919,19986398,10523,10523,19437202,19443794,19437193,19437193,0,0,549717,542604,0.8546419144,0.8546419144
