online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe
376.6930000000,479.0650000000,453.5760000000,12.0610000000,7.3510000000,7.2950000000,8.9820000000,6.8000000000,6.7950000000,12.6110000000,7.6060000000,19.3240000000,10.5120000000,6.4830000000,62.6640000000,60359.1619999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,127854.4200000000,0.1190000000,0.1260000000,690.9280000000,126.7040000000,65981.4270000000,65975.8770000000,0.0030000000,61872.9900000000,86428471,86427438,29211,29211,84827314,84827305,84827296,84827305,0,0,1601157,1600133,0.4069040914,0.4069040914
380.9290000000,495.7750000000,473.9870000000,11.7220000000,7.1130000000,7.2060000000,8.8290000000,6.6680000000,6.7160000000,12.6290000000,7.9260000000,19.3380000000,10.5470000000,6.4050000000,61.7330000000,66534.0930000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,160904.8120000000,0.1190000000,0.1260000000,690.9280000000,126.7040000000,92827.0890000000,92822.7180000000,0.0040000000,68077.7200000000,86428453,86427438,29211,29211,84827305,84827305,84827296,84827305,0,0,1601148,1600133,0.8971680321,0.8971680321
392.2110000000,501.3600000000,462.3590000000,12.5330000000,7.3910000000,6.6180000000,9.9560000000,7.0040000000,7.7620000000,13.8070000000,8.2910000000,19.5500000000,10.6940000000,6.8510000000,64.4820000000,64893.1040000002,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,132749.0200000000,0.1160000000,0.1590000000,620.6080000000,155.0780000000,66271.8600000000,66265.8430000000,0.0030000000,66477.1590000000,86428462,86427438,29220,29220,84827305,84827305,84827305,84827305,0,0,1601157,1600133,0.4069040914,0.4069040914
378.8930000000,492.8960000000,471.2940000000,11.6730000000,7.1020000000,6.2920000000,9.4740000000,6.6100000000,7.6820000000,13.3240000000,7.7470000000,19.2520000000,10.0980000000,6.5560000000,61.3140000000,67227.6350000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,133411.2750000000,0.1160000000,0.1590000000,620.6080000000,155.0780000000,64648.4940000000,64644.1980000000,0.0030000000,68762.7780000000,86428462,86427438,29220,29220,84827305,84827305,84827296,84827305,0,0,1601157,1600133,1.0025642204,1.0025642204
372.5670000000,480.6860000000,459.0910000000,11.2920000000,7.4550000000,8.1210000000,9.2620000000,6.8390000000,7.2010000000,12.6810000000,7.6930000000,19.2620000000,11.0310000000,6.3620000000,61.7560000000,61923.2100000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,130483.3690000000,0.1110000000,0.1170000000,538.8480000000,198.6790000000,67041.9570000000,67036.4040000000,0.0020000000,63441.4090000000,86428462,86427438,29220,29220,84827305,84827305,84827305,84827305,0,0,1601157,1600133,0.4856290702,0.4856290702
384.6760000000,501.4170000000,486.2810000000,11.5270000000,7.3090000000,8.1870000000,9.6230000000,6.8700000000,7.1880000000,13.0780000000,7.6160000000,19.4270000000,11.0170000000,6.5800000000,62.0420000000,61625.8649999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,124272.3540000000,0.1110000000,0.1170000000,538.8480000000,198.6790000000,61068.3390000000,61064.0430000000,0.0040000000,63204.0110000000,86428462,86427438,29220,29220,84827305,84827305,84827296,84827305,0,0,1601157,1600133,0.4750053962,0.4750053962
378.2840000000,492.0660000000,457.0250000000,10.9800000000,7.4340000000,6.7030000000,9.0550000000,6.9250000000,7.3930000000,12.6350000000,8.0410000000,19.5530000000,11.1200000000,6.9450000000,63.5020000000,61775.2990000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,127155.0570000000,0.1060000000,0.1260000000,556.6640000000,155.7770000000,63851.9780000000,63846.6980000000,0.0020000000,63303.0760000000,86428471,86427438,29211,29220,84827314,84827305,84827296,84827305,0,0,1601157,1600133,0.3585660146,0.3585660146
383.1920000000,508.9910000000,481.0000000000,10.8620000000,7.2100000000,6.5090000000,9.0930000000,6.8830000000,7.2460000000,12.8750000000,7.7020000000,19.6470000000,11.3920000000,7.4160000000,62.5870000000,61902.7250000003,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,124088.8870000000,0.1060000000,0.1260000000,556.6640000000,155.7770000000,60618.9580000000,60614.6820000000,0.0030000000,63469.9270000000,86428462,86427438,29211,29220,84827305,84827305,84827296,84827305,0,0,1601157,1600133,0.3939681150,0.3939681150
377.9580000000,478.9170000000,449.7100000000,11.0040000000,7.1630000000,6.5470000000,8.8890000000,6.9780000000,6.9680000000,12.4340000000,7.9860000000,19.0560000000,10.7150000000,6.7650000000,62.8800000000,59793.2380000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,122016.8500000000,0.1050000000,0.1260000000,357.7260000000,185.2930000000,60711.2450000000,60705.0720000000,0.0040000000,61305.6010000000,86428462,86427438,29220,29220,84827305,84827305,84827305,84827305,0,0,1601157,1600133,0.4174290345,0.4174290345
387.2450000000,503.7400000000,482.4540000000,11.5220000000,7.2830000000,6.6700000000,9.1440000000,6.9620000000,7.0000000000,12.7570000000,8.0350000000,19.2990000000,10.8750000000,6.6310000000,62.9540000000,58689.9660000003,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,115929.8510000000,0.1050000000,0.1260000000,357.7260000000,185.2930000000,55672.4220000000,55668.2130000000,0.0030000000,60257.4260000000,86428462,86427438,29220,29220,84827305,84827305,84827296,84827305,0,0,1601157,1600133,1.0066654188,1.0066654188
