online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe
162.7310000000,182.4740000000,113.5000000000,3.2460000000,2.5890000000,1.1790000000,3.0280000000,2.4780000000,1.1950000000,3.0790000000,2.6040000000,2.7860000000,2.7880000000,2.6130000000,14.6000000000,753.0020000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2701.2920000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1435.7300000000,1429.0390000000,0.0030000000,1265.5610000000,98545463,98546478,49947,49956,96945330,96945321,96945312,96945321,0,0,1600133,1601157,0.9407754168,0.9407754168
150.6950000000,166.2620000000,100.9460000000,3.0970000000,2.5040000000,1.1810000000,2.8270000000,2.3940000000,1.1000000000,3.1490000000,2.6280000000,2.6670000000,2.8090000000,2.6010000000,14.3980000000,675.0180000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2205.7950000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1063.8930000000,1057.3850000000,0.0010000000,1141.9010000000,98545454,96449301,49947,49956,96945321,94848144,96945321,92750967,0,0,1600133,1601157,0.9479154405,0.9479154405
201.9120000000,228.4550000000,152.9580000000,3.6440000000,2.7440000000,1.3960000000,3.0710000000,2.6800000000,1.4860000000,3.4680000000,2.7820000000,3.2890000000,3.0710000000,2.6720000000,16.4530000000,1324.3900000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,3857.7080000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1889.1160000000,1880.1170000000,0.0020000000,1968.5910000000,98545454,98546478,49947,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.8064636766,0.8064636766
151.7240000000,169.5860000000,102.3200000000,3.1350000000,2.5710000000,1.2200000000,2.8970000000,2.4020000000,1.1830000000,3.1070000000,2.6890000000,2.7170000000,2.8290000000,2.5920000000,14.4740000000,703.6440000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2337.4960000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1160.9570000000,1153.8070000000,0.0050000000,1176.5370000000,98545454,98546478,49947,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,1.0786449723,1.0786449723
152.5440000000,169.5320000000,104.6490000000,3.1590000000,2.4950000000,1.1650000000,2.8220000000,2.3720000000,1.1030000000,3.2130000000,2.5970000000,2.7290000000,2.8810000000,2.5530000000,14.2330000000,688.3690000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2246.7160000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1082.6660000000,1077.1500000000,0.0040000000,1164.0480000000,98545454,98546478,49947,49956,96945321,96945321,96945312,96945321,0,0,1600133,1601157,1.0665817906,1.0665817906
154.2460000000,174.6660000000,105.4240000000,3.2040000000,2.5080000000,1.1730000000,2.8680000000,2.3320000000,1.1750000000,3.0900000000,2.6930000000,2.7190000000,2.9300000000,2.5500000000,14.9800000000,729.4590000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2354.3680000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1140.8190000000,1135.1770000000,0.0070000000,1213.5460000000,98545454,98546478,49947,49956,96945321,96945321,96945312,96945321,0,0,1600133,1601157,1.0189659527,1.0189659527
159.5840000000,180.0340000000,109.6660000000,3.3290000000,2.4540000000,1.2260000000,2.8280000000,2.4420000000,1.1400000000,3.2520000000,2.7940000000,2.7930000000,2.8290000000,2.6270000000,14.7870000000,751.8810000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2604.1940000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1352.9690000000,1346.1280000000,0.0040000000,1251.2230000000,98545454,79671885,49947,49956,96945321,78070728,96945321,75973551,0,0,1600133,1601157,1.0504583082,1.0504583082
157.7450000000,175.3060000000,106.7700000000,3.2460000000,2.4450000000,1.1880000000,2.8680000000,2.3040000000,1.1770000000,3.2130000000,2.7210000000,2.7970000000,2.7870000000,2.6720000000,14.6140000000,721.0860000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2470.7380000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1260.0530000000,1250.8410000000,0.0040000000,1210.6830000000,98545454,98546478,49947,49956,96945321,96945321,96945312,96945321,0,0,1600133,1601157,0.6801236368,0.6801236368
157.5040000000,177.7820000000,106.5430000000,3.1630000000,2.5010000000,1.1810000000,2.8760000000,2.3020000000,1.1740000000,3.1100000000,2.7230000000,2.7960000000,2.9370000000,2.6710000000,14.5870000000,737.0700000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2361.5360000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1132.9820000000,1125.1880000000,0.0030000000,1228.5530000000,98545454,98546478,49947,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.9995396260,0.9995396260
154.8810000000,176.0490000000,105.0550000000,3.2110000000,2.4730000000,1.1600000000,2.8700000000,2.3620000000,1.1580000000,3.1040000000,2.6300000000,2.7620000000,2.8090000000,2.6020000000,14.2050000000,722.6890000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2323.1610000000,0.0840000000,0.0600000000,96.5330000000,249.9300000000,1115.5110000000,1110.2290000000,0.0020000000,1207.6490000000,98545454,98546478,49947,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.9879031474,0.9879031474
