online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe
150.2020000000,166.8950000000,102.3650000000,3.1140000000,2.5260000000,1.2000000000,2.7520000000,2.3860000000,1.1130000000,3.1720000000,2.6300000000,2.7120000000,2.9360000000,2.5480000000,14.2560000000,696.5790000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2394.1600000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1226.6700000000,1220.7590000000,0.0010000000,1167.4890000000,98545454,98546478,49956,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.8486896358,0.8486896358
151.8340000000,168.3630000000,102.5140000000,3.2260000000,2.4370000000,1.2000000000,2.7800000000,2.3200000000,1.0980000000,3.2080000000,2.5940000000,2.7150000000,2.9740000000,2.5420000000,14.1720000000,696.7490000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2407.2600000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1239.0480000000,1230.8820000000,0.0040000000,1168.2110000000,98545454,98546478,49956,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.8574226519,0.8574226519
155.5580000000,174.7890000000,109.1960000000,3.1540000000,2.5740000000,1.1640000000,2.7970000000,2.2550000000,1.2010000000,3.2060000000,2.5280000000,2.8300000000,2.9880000000,2.5390000000,14.2200000000,739.5160000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2346.1640000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1118.2460000000,1112.5770000000,0.0030000000,1227.9160000000,98545454,98546478,49956,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,1.2035870954,1.2035870954
150.9020000000,167.8650000000,102.3510000000,3.4290000000,2.5050000000,1.1970000000,2.8370000000,2.3200000000,1.1150000000,3.1430000000,2.6470000000,2.7270000000,2.8890000000,2.6070000000,14.3220000000,689.8030000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2326.7680000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1166.6430000000,1160.0480000000,0.0020000000,1160.1220000000,98545454,98546478,49956,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.9085617135,0.9085617135
152.5880000000,168.5730000000,103.5080000000,3.1310000000,2.5860000000,1.1450000000,2.7550000000,2.3440000000,1.1820000000,3.1590000000,2.5510000000,2.6950000000,3.0000000000,2.5440000000,14.0590000000,692.3440000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2289.9750000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1124.4680000000,1117.9480000000,0.0040000000,1165.5040000000,98545454,98546478,49956,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.8691711184,0.8691711184
151.0660000000,168.2330000000,101.7300000000,3.1340000000,2.4710000000,1.1490000000,2.8250000000,2.3200000000,1.1840000000,3.1930000000,2.6140000000,2.7820000000,2.9910000000,2.5530000000,14.1230000000,690.2620000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2245.5930000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1085.4980000000,1079.2850000000,0.0020000000,1160.0930000000,98545454,98546478,49956,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,1.0233745082,1.0233745082
152.4860000000,168.0590000000,102.0280000000,3.1460000000,2.5590000000,1.0910000000,2.7620000000,2.3060000000,1.1540000000,3.1960000000,2.5680000000,2.7460000000,2.9710000000,2.5070000000,14.0460000000,685.3460000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2311.6040000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1155.1950000000,1149.3100000000,0.0030000000,1156.4060000000,98545454,98546478,49956,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.7921871699,0.7921871699
155.3840000000,173.7980000000,107.3350000000,3.1940000000,2.5970000000,1.0980000000,2.8290000000,2.3710000000,1.2050000000,3.2770000000,2.6390000000,2.8000000000,2.8630000000,2.5160000000,14.3450000000,733.3600000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2473.7940000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1254.6400000000,1246.1050000000,0.0020000000,1219.1530000000,98545454,98546478,49956,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,1.0173774015,1.0173774015
151.6690000000,170.4790000000,103.4750000000,3.1140000000,2.5170000000,1.1420000000,2.8360000000,2.3690000000,1.2090000000,3.1660000000,2.5480000000,2.8690000000,2.9560000000,2.5000000000,14.1330000000,735.9970000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2311.3890000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1100.9750000000,1094.5840000000,0.0060000000,1210.4120000000,98545454,98546478,49956,49956,96945321,96945321,96945321,96945321,0,0,1600133,1601157,0.8910465865,0.8910465865
153.6840000000,171.0470000000,104.1030000000,3.1390000000,2.5170000000,1.1980000000,2.7100000000,2.4090000000,1.1680000000,3.2830000000,2.5070000000,2.7840000000,2.9260000000,2.5610000000,14.3440000000,709.0230000000,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,2217.7440000000,0.0800000000,0.0780000000,23.1230000000,256.0850000000,1030.9130000000,1024.6580000000,0.0050000000,1186.8300000000,98545454,98546478,49956,49956,96945321,96945321,96945321,94848144,0,0,1600133,1601157,0.8208633487,0.8208633487
