,computed_result,actual_result,model,metric
0,True,True,VGG-Face,cosine
1,True,True,VGG-Face,euclidean
2,True,True,Facenet,cosine
3,True,True,Facenet,euclidean
4,True,True,Facenet512,cosine
5,True,True,Facenet512,euclidean
6,True,True,OpenFace,cosine
7,True,True,OpenFace,euclidean
8,True,True,DeepFace,cosine
9,True,True,DeepFace,euclidean
10,True,True,ArcFace,cosine
11,True,True,ArcFace,euclidean
12,True,True,Dlib,cosine
13,True,True,Dlib,euclidean
14,True,True,SFace,cosine
15,True,True,SFace,euclidean
16,True,True,VGG-Face,cosine
17,True,True,VGG-Face,euclidean
18,True,True,Facenet,cosine
19,True,True,Facenet,euclidean
20,True,True,Facenet512,cosine
21,True,True,Facenet512,euclidean
22,False,True,OpenFace,cosine
23,True,True,OpenFace,euclidean
24,True,True,DeepFace,cosine
25,True,True,DeepFace,euclidean
26,True,True,ArcFace,cosine
27,True,True,ArcFace,euclidean
28,True,True,Dlib,cosine
29,True,True,Dlib,euclidean
30,True,True,SFace,cosine
31,True,True,SFace,euclidean
32,True,True,VGG-Face,cosine
33,True,True,VGG-Face,euclidean
34,True,True,Facenet,cosine
35,False,True,Facenet,euclidean
36,False,True,Facenet512,cosine
37,False,True,Facenet512,euclidean
38,False,True,OpenFace,cosine
39,True,True,OpenFace,euclidean
40,True,True,DeepFace,cosine
41,True,True,DeepFace,euclidean
42,True,True,ArcFace,cosine
43,False,True,ArcFace,euclidean
44,True,True,Dlib,cosine
45,True,True,Dlib,euclidean
46,True,True,SFace,cosine
47,False,True,SFace,euclidean
48,False,False,VGG-Face,cosine
49,False,False,VGG-Face,euclidean
50,False,False,Facenet,cosine
51,False,False,Facenet,euclidean
52,False,False,Facenet512,cosine
53,False,False,Facenet512,euclidean
54,False,False,OpenFace,cosine
55,False,False,OpenFace,euclidean
56,False,False,DeepFace,cosine
57,False,False,DeepFace,euclidean
58,False,False,ArcFace,cosine
59,False,False,ArcFace,euclidean
60,False,False,Dlib,cosine
61,False,False,Dlib,euclidean
62,False,False,SFace,cosine
63,False,False,SFace,euclidean
64,False,False,VGG-Face,cosine
65,False,False,VGG-Face,euclidean
66,False,False,Facenet,cosine
67,False,False,Facenet,euclidean
68,False,False,Facenet512,cosine
69,False,False,Facenet512,euclidean
70,False,False,OpenFace,cosine
71,False,False,OpenFace,euclidean
72,True,False,DeepFace,cosine
73,True,False,DeepFace,euclidean
74,False,False,ArcFace,cosine
75,False,False,ArcFace,euclidean
76,False,False,Dlib,cosine
77,False,False,Dlib,euclidean
78,False,False,SFace,cosine
79,False,False,SFace,euclidean
80,False,False,VGG-Face,cosine
81,False,False,VGG-Face,euclidean
82,False,False,Facenet,cosine
83,False,False,Facenet,euclidean
84,False,False,Facenet512,cosine
85,False,False,Facenet512,euclidean
86,False,False,OpenFace,cosine
87,False,False,OpenFace,euclidean
88,False,False,DeepFace,cosine
89,True,False,DeepFace,euclidean
90,False,False,ArcFace,cosine
91,False,False,ArcFace,euclidean
92,False,False,Dlib,cosine
93,False,False,Dlib,euclidean
94,False,False,SFace,cosine
95,False,False,SFace,euclidean
96,True,True,VGG-Face,cosine
97,True,True,VGG-Face,euclidean
98,True,True,Facenet,cosine
99,True,True,Facenet,euclidean
100,False,True,Facenet512,cosine
101,False,True,Facenet512,euclidean
102,False,True,OpenFace,cosine
103,False,True,OpenFace,euclidean
104,False,True,DeepFace,cosine
105,True,True,DeepFace,euclidean
106,True,True,ArcFace,cosine
107,True,True,ArcFace,euclidean
108,True,True,Dlib,cosine
109,True,True,Dlib,euclidean
110,True,True,SFace,cosine
111,True,True,SFace,euclidean
112,False,False,VGG-Face,cosine
113,False,False,VGG-Face,euclidean
114,False,False,Facenet,cosine
115,False,False,Facenet,euclidean
116,False,False,Facenet512,cosine
117,False,False,Facenet512,euclidean
118,False,False,OpenFace,cosine
119,False,False,OpenFace,euclidean
120,False,False,DeepFace,cosine
121,False,False,DeepFace,euclidean
122,False,False,ArcFace,cosine
123,False,False,ArcFace,euclidean
124,False,False,Dlib,cosine
125,False,False,Dlib,euclidean
126,False,False,SFace,cosine
127,False,False,SFace,euclidean
