,Unnamed: 0,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status,energy_used,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe.1
0,0,lfw/Doug_Melvin/Doug_Melvin_0001.jpg,lfw/Doug_Melvin/Doug_Melvin_0002.jpg,True,True,0.3426151871681213,0.3426151872,11.848955869674684,6.624933958053589,5.224021911621094,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.7,0.4,34%,0:06.17,0,0,0,0,157924,0,18,64451,57679,20,0,3168,0,0,0,0,4096.0,0.0,0.0,56.342,49.645,37.409,1.436,1.238,0.609,1.07,1.152,0.588,1.357,1.083,1.079,1.394,1.087,7.257,3136.1340000001,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1.0,1339400.0,8080.0,5390.495,0.1,0.414,70.141,22.282,2086.483,2083.915,0.004,3304.011,19986910,19986398,10532,10523,19437193,19437193,19437193,19437193,0,0.0,549717.0,549205.0,0.3426151872,0.3426151872
1,1,lfw/Doug_Melvin/Doug_Melvin_0001.jpg,lfw/Doug_Melvin/Doug_Melvin_0003.jpg,True,True,0.2729891538619995,0.2729891539,8.549599647521973,6.6241419315338135,1.9254577159881592,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.76,0.41,35%,0:06.17,0,0,0,0,157736,0,0,64459,57913,22,0,0,0,0,0,0,4096.0,0.0,0.0,47.901,47.758,38.3,1.634,1.152,0.712,1.261,1.121,0.675,1.502,1.211,1.656,1.372,1.08,8.645,3107.518,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1.0,1339400.0,8080.0,5363.811,0.099,0.138,118.16,22.939,2094.456,2091.752,0.004,3269.353,19986910,19986398,10532,10532,19437193,19443794,19437193,19443794,0,0.0,549717.0,542604.0,0.2729891539,0.2729891539
2,2,lfw/Doug_Melvin/Doug_Melvin_0001.jpg,lfw/Valeri_Bure/Valeri_Bure_0001.jpg,False,False,1.056210581213236,1.0562106371,8.479039430618286,6.557420253753662,1.921619176864624,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.78,0.37,35%,0:06.08,0,0,0,0,157704,0,0,64454,58057,101,0,0,0,0,0,0,4096.0,0.0,0.0,47.211,48.289,38.508,1.461,1.142,0.688,1.14,1.033,0.544,1.365,1.079,1.516,1.15,1.106,7.271,3198.814,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1.0,1339400.0,8080.0,5400.192,0.112,0.14,4.806,20.605,2041.821,2039.34,0.004,3358.369,19986910,19986398,10532,10532,19437193,19443794,19437193,19437202,0,0.0,549717.0,542604.0,1.0562106371,1.0562106371
3,3,lfw/Doug_Melvin/Doug_Melvin_0001.jpg,lfw/Kelli_White/Kelli_White_0001.jpg,False,False,0.8649986088275909,0.8649986386,8.803097009658813,6.871710300445557,1.9313867092132568,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.72,0.35,32%,0:06.37,0,0,0,0,157892,0,0,64458,57449,1664,0,0,0,0,0,0,4096.0,0.0,0.0,42.044,45.631,34.603,1.488,0.931,0.491,1.059,1.025,0.467,1.345,0.963,1.103,1.008,1.14,5.924,3062.782,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1.0,1339400.0,8080.0,5275.597,0.102,0.126,411.082,24.697,2068.152,2065.519,0.004,3207.443,19986910,19986398,10532,10532,19437193,19443794,19437193,19437194,0,0.0,549717.0,542604.0,0.8649986386,0.8649986386
4,0,lfw/Drew_Barrymore/Drew_Barrymore_0001.jpg,lfw/Drew_Barrymore/Drew_Barrymore_0002.jpg,False,True,0.8493960797786713,0.8493959904,8.380018711090088,6.451941013336182,1.9280776977539065,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.72,0.35,34%,0:06.01,0,0,0,0,157920,0,0,64459,57360,10,0,0,0,0,0,0,4096.0,0.0,0.0,47.719,48.189,35.849,1.397,1.08,0.662,1.142,1.03,0.509,1.333,1.041,0.99,1.156,1.086,6.52,3077.0820000001,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1.0,1339400.0,8080.0,5328.527,0.108,0.122,6.861,22.183,2095.886,2093.43,0.005,3232.641,19986910,19986398,10532,10523,19437193,19443794,19437193,19443794,0,0.0,549717.0,542604.0,0.8493959904,0.8493959904
5,1,lfw/Drew_Barrymore/Drew_Barrymore_0001.jpg,lfw/Robin_McGraw/Robin_McGraw_0001.jpg,False,False,0.8141839355230331,0.8141838908,8.32261610031128,6.3900182247161865,1.9325978755950928,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.73,0.34,34%,0:05.98,0,0,0,0,157936,0,0,64461,57720,2061,0,0,0,0,0,0,4096.0,0.0,0.0,43.134,42.08,34.917,1.285,0.927,0.516,0.894,0.883,0.54,1.277,0.927,1.295,1.037,0.99,6.443,3068.25,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1.0,1339400.0,8080.0,5251.68,0.098,0.122,46.345,21.397,2041.669,2039.041,0.004,3210.009,19986910,19986398,10532,10523,19437193,19443794,19437193,19443794,0,0.0,549717.0,542604.0,0.8141838908,0.8141838908
6,0,lfw/Duane_Lee_Chapman/Duane_Lee_Chapman_0001.jpg,lfw/Duane_Lee_Chapman/Duane_Lee_Chapman_0002.jpg,True,True,0.5301993489265442,0.5301992893,8.392500877380371,6.467493057250977,1.9250078201293943,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.69,0.32,33%,0:06.03,0,0,0,0,157864,0,0,64455,57526,7,0,0,0,0,0,0,4096.0,0.0,0.0,42.439,45.058,33.656,1.393,1.052,0.459,1.042,0.916,0.382,1.254,0.954,1.109,1.033,1.186,6.084,3069.136,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1.0,1339400.0,8080.0,5310.189,0.102,0.125,22.89,19.014,2098.487,2096.085,0.004,3211.7,19986910,19986398,10532,10532,19437193,19443794,19437193,19443794,0,0.0,549717.0,542604.0,0.5301992893,0.5301992893
7,1,lfw/Duane_Lee_Chapman/Duane_Lee_Chapman_0001.jpg,lfw/Robert_Vowler/Robert_Vowler_0001.jpg,False,False,0.9586036019027232,0.9586036205,8.422769546508789,6.503033638000488,1.9197359085083008,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.76,0.28,33%,0:06.06,0,0,0,0,157920,0,0,64458,57511,15,0,0,0,0,0,0,4096.0,0.0,0.0,45.016,44.518,35.075,1.322,0.974,0.521,0.977,0.987,0.507,1.249,0.974,1.222,1.096,0.967,6.838,3055.203,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1.0,1339400.0,8080.0,5339.514,0.104,0.131,48.089,21.768,2137.082,2134.622,0.005,3202.431,19986910,19986398,10532,10532,19437193,19443794,19437193,19443794,0,0.0,549717.0,542604.0,0.9586036205,0.9586036205
8,0,lfw/Dwayne_Johnson/Dwayne_Johnson_0001.jpg,lfw/Dwayne_Johnson/Dwayne_Johnson_0002.jpg,True,True,0.1388850808143615,0.1388850212,8.55270791053772,6.63808536529541,1.9146225452423096,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",1.7,0.37,33%,0:06.27,0,0,0,0,157940,0,0,64462,57137,17,0,0,0,0,0,0,4096.0,0.0,0.0,47.841,48.345,37.408,1.579,1.02,0.455,0.969,1.081,0.469,1.355,0.991,1.108,1.066,1.029,6.317,3206.373,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1.0,1339400.0,8080.0,5481.489,0.102,0.12,114.075,22.12,2119.022,2116.294,0.003,3362.466,19986910,19986398,10532,10532,19437193,19443794,19437193,19437193,0,0.0,549717.0,542604.0,0.1388850212,0.1388850212
9,1,lfw/Dwayne_Johnson/Dwayne_Johnson_0001.jpg,lfw/Tim_Duncan/Tim_Duncan_0002.jpg,False,False,0.8546419739723206,0.8546419144,8.960676193237305,7.025026082992554,1.935650110244751,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.112 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",2.01,0.44,37%,0:06.56,0,0,0,0,157704,0,0,64457,57616,25,0,0,0,0,0,0,4096.0,0.0,0.0,69.417,74.655,61.184,2.366,1.746,1.245,1.919,1.764,1.013,2.317,1.803,2.157,2.149,1.677,12.611,3510.203,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1.0,1339400.0,8080.0,5832.354,0.112,0.143,43.16,22.908,2075.806,2073.007,0.004,3756.547,19986919,19986398,10523,10523,19437202,19443794,19437193,19437193,0,0.0,549717.0,542604.0,0.8546419144,0.8546419144
