,Unnamed: 0,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,ram_used,energy_used,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe.1
0,0,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0002.jpg,True,True,0.2064672729369681,0.2064672729,66.59536576271057,49.86850047111511,16.72686529159546,0,0,1883.176,2195.023,1548.418,24.211,18.423,10.361,28.258,22.112,7.62,25.269,22.404,30.705,26.247,21.928,129.561,14072.596,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33843.538,0.362,0.354,14.589,787.019,13693.629,13627.699,0.008,20149.9,86428489,86427456,29211,29220,84827332,84827323,84827323,84827323,0,0,1601157,1600133,0.2064672729,0.2064672729
1,1,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0003.jpg,True,True,0.4130865591337057,0.4130865591,66.74979329109192,49.95002198219299,16.799771308898926,0,0,1889.744,2208.314,1545.091,26.528,18.872,11.428,23.116,20.938,6.651,23.429,20.842,27.895,24.575,21.667,129.843,14156.595,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33908.788,0.37,0.332,19.308,787.87,13674.587,13606.448,0.008,20234.192,86428489,86427456,29211,29220,84827332,84837412,84827323,84827323,0,0,1601157,1590044,0.4130865591,0.4130865591
2,2,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0004.jpg,True,True,0.483093951538731,0.4830939515,66.70772743225098,50.02798461914063,16.67974281311035,0,0,1879.399,2204.219,1520.747,25.941,19.0,10.097,22.393,19.807,5.425,23.153,21.627,26.288,25.467,21.622,124.062,14153.414,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33912.961,0.396,0.382,22.973,800.698,13725.304,13656.745,0.006,20187.648,86428489,86427456,29211,29220,84827332,84837412,84827323,84827323,0,0,1601157,1590044,0.4830939515,0.4830939515
3,3,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Charlotte_Chambers/Charlotte_Chambers_0001.jpg,False,False,0.8789619045854997,0.8789619046,66.61957383155823,49.90289044380188,16.716683387756348,0,0,1881.0,2220.432,1527.932,24.504,18.609,9.983,25.916,20.558,7.101,24.976,19.986,26.044,24.205,21.726,129.545,14147.076,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33874.62,0.353,0.317,13.51,786.106,13661.018,13591.632,0.008,20213.592,86428489,86427456,29211,29220,84827332,84837412,84827323,84827323,0,0,1601157,1590044,0.8789619046,0.8789619046
4,4,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Himmler_Rebu/Himmler_Rebu_0001.jpg,False,False,0.8023932046373068,0.8023932046,66.82462430000305,50.14711380004883,16.677510499954224,0,0,1873.554,2204.777,1534.404,26.342,19.211,9.506,22.38,22.618,5.163,26.47,20.503,27.882,26.012,21.083,138.494,14182.508,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33974.497,0.34,0.335,19.252,786.705,13726.541,13660.421,0.008,20247.859,86428480,86427456,29220,29220,84827323,84827323,84827323,84827323,0,0,1601157,1600133,0.8023932046,0.8023932046
5,5,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/David_Westerfield/David_Westerfield_0001.jpg,False,False,0.9478029857513086,0.9478029858,66.45380401611328,49.81460523605347,16.639198780059814,0,0,1860.358,2190.61,1527.731,25.005,18.757,8.734,23.535,21.956,5.684,24.576,21.189,30.199,25.608,22.648,129.542,14121.079,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33773.127,0.314,0.303,22.567,772.983,13637.765,13568.034,0.008,20135.353,86428489,86427456,29211,29220,84827332,84827323,84827323,84827323,0,0,1601157,1600133,0.9478029858,0.9478029858
6,0,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Aaron_Sorkin/Aaron_Sorkin_0002.jpg,True,True,0.393394703513807,0.3933947035,66.59610986709595,49.92975163459778,16.66635823249817,0,0,1863.414,2199.895,1526.094,28.027,19.367,8.87,24.008,20.75,7.332,24.939,22.027,24.071,25.664,21.597,123.355,14159.388,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33874.178,0.314,0.316,13.258,794.093,13694.017,13624.153,0.008,20180.152,86428480,86427456,29220,29220,84827323,84837412,84827323,84827323,0,0,1601157,1590044,0.3933947035,0.3933947035
7,1,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Saadi_Gadhafi/Saadi_Gadhafi_0001.jpg,False,False,0.8589892952223012,0.8589892952,66.89096879959106,49.92790102958679,16.963067770004272,0,0,1869.703,2192.223,1517.095,26.274,18.86,9.168,23.115,21.172,5.321,24.362,22.948,23.963,25.49,22.998,119.562,14132.283,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33904.866,0.359,0.329,16.7,787.328,13769.146,13699.922,0.008,20135.71,86428480,86427456,29220,29220,84827323,84837412,84827323,84827323,0,0,1601157,1590044,0.8589892952,0.8589892952
8,0,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg,True,True,0.261090368001504,0.261090368,66.66041421890259,49.97557806968689,16.6848361492157,0,0,1872.877,2188.867,1538.25,25.088,18.707,8.69,22.315,20.104,5.405,23.027,20.602,28.519,26.975,21.786,144.032,14141.37,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33930.728,0.341,0.312,14.315,782.016,13740.621,13674.914,0.008,20190.099,86428480,86427456,29220,29220,84827323,84827323,84827323,84827323,0,0,1601157,1600133,0.261090368,0.261090368
9,1,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Roger_Winter/Roger_Winter_0001.jpg,False,False,1.0421491665661975,1.0421491666,66.41320013999939,49.7074613571167,16.70573878288269,0,0,1869.898,2218.334,1548.626,27.261,19.322,8.615,22.392,20.019,5.55,25.495,19.591,24.153,27.765,20.717,140.072,14039.185,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33649.548,0.311,0.319,17.493,784.359,13529.658,13463.473,0.009,20119.877,86428489,86427456,29211,29220,84827332,84827323,84827323,84827323,0,0,1601157,1600133,1.0421491666,1.0421491666
