,Unnamed: 0,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,ram_used,energy_used,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe.1
0,0,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0002.jpg,True,True,0.2064672729369681,0.2064672729,106.64485836029051,91.66429042816162,14.980567932128906,0,0,2054.34,2371.393,1701.736,32.103,23.31,10.446,24.057,20.691,9.055,28.16,20.621,24.717,23.948,23.405,157.432,41140.772,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,76807.819,0.364,0.342,174.809,722.123,29058.941,28991.418,0.009,47748.868,86428489,86427456,29211,29220,84827332,84827332,84827323,84827323,0,0,1601157,1600124,0.2064672729,0.2064672729
1,1,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0003.jpg,True,True,0.4130865591337057,0.4130865591,105.96058106422424,91.1000747680664,14.860506296157835,0,0,2046.703,2383.052,1715.288,32.883,23.121,10.468,24.632,20.152,10.085,26.147,18.916,22.223,24.572,21.855,158.367,41114.9069999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,76606.412,0.351,0.318,90.836,720.269,28862.012,28797.326,0.008,47744.389,86428480,86427456,29220,29220,84827323,84827324,84827323,84827323,0,0,1601157,1600132,0.4130865591,0.4130865591
2,2,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0004.jpg,True,True,0.483093951538731,0.4830939515,108.93158721923828,94.07714509963988,14.854442119598389,0,0,2052.365,2383.768,1734.782,33.89,23.895,10.123,24.33,20.57,8.702,29.687,18.489,22.088,21.313,22.607,146.162,41176.7250000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,79617.84,0.33,0.321,132.717,718.053,31792.848,31729.471,0.01,47824.983,86428489,86427456,29211,29220,84827332,84827323,84827323,84827323,0,0,1601157,1600133,0.4830939515,0.4830939515
3,3,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Lou_Reed/Lou_Reed_0001.jpg,False,False,0.9311591263569192,0.9311591264,105.2701485157013,90.40474724769592,14.865401268005373,0,0,2065.856,2400.166,1737.468,31.702,23.98,12.685,25.95,20.788,11.98,28.676,20.205,25.91,21.083,21.374,145.58,41143.083,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,75727.414,0.349,0.33,228.122,736.597,27905.52,27838.767,0.009,47821.884,86428480,86427456,29220,29220,84827323,84837412,84827323,84827332,0,0,1601157,1590044,0.9311591264,0.9311591264
4,4,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Sananda_Maitreya/Sananda_Maitreya_0001.jpg,False,False,0.982156352910043,0.9821563529,105.5343074798584,90.6153678894043,14.918939590454102,0,0,2073.066,2402.489,1717.724,33.901,25.57,13.462,25.601,20.872,9.873,28.07,21.837,23.318,22.467,24.616,151.644,40979.9960000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,75967.929,0.339,0.308,81.348,735.417,28304.702,28245.968,0.009,47663.216,86428480,86427456,29220,29220,84827323,84827332,84827323,84827323,0,0,1601157,1600124,0.9821563529,0.9821563529
5,5,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Evan_Rachel_Wood/Evan_Rachel_Wood_0002.jpg,False,False,0.9929695492882163,0.9929695493,104.49423670768738,89.54327893257141,14.950957775115969,0,0,2066.952,2383.331,1721.564,31.787,23.761,11.439,25.878,20.303,10.957,28.136,19.413,23.726,22.649,25.034,147.75,40961.4840000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,74960.198,0.38,0.321,70.631,731.595,27350.544,27288.572,0.01,47609.643,86428480,86427456,29220,29220,84827323,84827332,84827323,84827323,0,0,1601157,1600124,0.9929695493,0.9929695493
6,0,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Aaron_Sorkin/Aaron_Sorkin_0002.jpg,True,True,0.393394703513807,0.3933947035,105.02141547203064,89.98050713539124,15.040908336639404,0,0,2078.291,2380.24,1710.926,34.24,23.623,11.349,26.195,20.829,10.513,27.729,19.765,21.15,22.067,24.275,146.462,40934.1789999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,75229.804,0.349,0.356,18.634,752.515,27649.582,27584.809,0.007,47580.21,86428489,86427456,29211,29220,84827332,84827332,84827323,84827323,0,0,1601157,1600124,0.3933947035,0.3933947035
7,1,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Christopher_Conyers/Christopher_Conyers_0001.jpg,False,False,1.0325755196822388,1.0325755197,105.12475633621216,89.99823379516602,15.126522541046144,0,0,2050.798,2373.253,1720.483,31.912,25.225,11.029,21.775,19.996,8.384,28.714,19.205,23.908,20.414,21.694,151.096,40874.2769999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,75308.274,0.327,0.309,28.312,744.586,27815.852,27749.672,0.008,47492.413,86428489,86427456,29211,29220,84827332,84827323,84827323,84827323,0,0,1601157,1600133,1.0325755197,1.0325755197
8,0,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg,True,True,0.261090368001504,0.261090368,106.35375595092772,91.24704885482788,15.106707096099854,0,0,2058.893,2365.054,1741.701,31.79,22.979,12.077,25.165,20.195,8.564,26.727,19.206,24.523,23.257,23.364,150.028,41793.4550000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,76377.19,0.324,0.319,45.768,757.559,27931.702,27871.027,0.007,48445.447,86428489,86427456,29211,29220,84827332,84827332,84827323,84827323,0,0,1601157,1600124,0.261090368,0.261090368
9,1,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Graeme_Lloyd/Graeme_Lloyd_0001.jpg,False,False,0.8368488284963044,0.8368488285,106.6285364627838,91.50511240959167,15.12342405319214,0,0,2054.796,2384.988,1734.095,32.405,23.748,10.623,24.78,22.372,9.371,27.226,20.421,24.125,22.503,24.655,141.819,41951.5059999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,76550.548,0.337,0.323,31.049,779.524,27946.745,27887.484,0.009,48603.795,86428489,86427456,29211,29220,84827332,84827323,84827323,84827323,0,0,1601157,1600133,0.8368488285,0.8368488285
