,Unnamed: 0,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status,energy_client,energy_server,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe.1
0,0,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0001.jpg,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0002.jpg,True,True,0.4069041609764099,0.4069042206,87.39720869064331,57.99563527107239,29.401573419570923,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",30.9,9.54,70%,0:57.35,0,0,0,0,149136,0,0,62681,72066,48215,0,0,0,0,0,0,4096,0,not measured,not measured,854.274,926.981,746.187,20.273,15.257,4.266,16.464,13.434,5.326,17.706,12.756,18.652,13.654,13.893,96.6,31961.3220000001,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,44415.793,0.695,0.52,83.847,1705.512,9615.036,9573.188,0.012,34800.745,27761630,27761118,29220,29220,27211913,27211913,27211913,27211913,0,0,549717,549205,0.4069042206,0.4069042206
1,1,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0001.jpg,lfw/Vadim_Strogalev/Vadim_Strogalev_0001.jpg,False,False,1.1074426919221878,1.1074427366,85.54559469223022,56.436845541000366,29.10874915122986,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",30.59,9.4,71%,0:55.80,0,0,0,0,144120,0,0,61413,69835,45037,0,0,0,0,0,0,4096,0,not measured,not measured,847.428,916.211,738.868,18.937,15.923,4.61,14.299,13.695,5.104,17.292,13.202,18.73,13.287,13.066,88.159,30697.6640000001,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,42972.315,0.646,0.518,156.962,1689.588,9477.133,9434.67,0.014,33495.17,27761630,27761118,29220,29220,27211913,27211913,27211913,27211913,0,0,549717,549205,1.1074427366,1.1074427366
2,0,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0002.jpg,True,True,0.4856290221214294,0.4856289625,85.87027168273926,56.54897046089173,29.32130122184753,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",30.9,9.3,71%,0:55.91,0,0,0,0,142180,0,0,60969,72746,46924,0,0,0,0,0,0,4096,0,not measured,not measured,850.191,922.013,748.995,19.995,15.652,5.405,14.947,13.212,5.611,16.782,12.285,20.056,13.872,12.007,94.634,30981.7680000001,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,43117.48,0.759,0.522,130.602,1678.677,9299.287,9257.072,0.012,33818.179,27761630,27761118,29220,29220,27211913,27211913,27211904,27211913,0,0,549717,549205,0.4856289625,0.4856289625
3,1,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0003.jpg,True,True,0.4750053286552429,0.4750052691,85.74738788604736,56.67703223228455,29.070355653762817,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",30.86,8.8,70%,0:56.04,0,0,0,0,143664,0,0,61342,70325,47545,0,0,0,0,0,0,4096,0,not measured,not measured,839.094,935.413,772.264,18.42,14.665,5.907,15.736,12.941,5.796,15.856,12.236,19.779,15.954,12.163,99.733,31139.4999999999,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,43012.441,1.371,0.552,232.007,1670.867,9017.983,8975.974,0.012,33994.447,27761639,27761118,29211,29220,27211922,27211913,27211913,27211913,0,0,549717,549205,0.4750052691,0.4750052691
4,2,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0004.jpg,False,True,0.6170364320278168,0.6170363426,86.52859044075012,57.477296590805054,29.05129384994507,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",30.83,9.48,70%,0:56.83,0,0,0,0,142216,0,0,60966,71864,44383,0,0,0,0,0,0,4096,0,not measured,not measured,848.287,916.072,745.461,21.864,15.937,5.569,13.587,13.332,6.206,16.58,12.539,20.499,13.015,12.53,92.258,32070.482,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,43888.556,0.56,0.517,153.84,1678.02,9005.9,8964.28,0.012,34882.646,27761630,27761118,29220,29220,27211913,27211913,27211913,27211913,0,0,549717,549205,0.6170363426,0.6170363426
5,3,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0005.jpg,True,True,0.5916658043861389,0.5916658044,87.1960837841034,57.6873824596405,29.50870132446289,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",30.57,9.04,69%,0:57.05,0,0,0,0,143976,0,0,61413,71184,46327,0,0,0,0,0,0,4096,0,not measured,not measured,849.757,915.524,750.15,18.423,15.018,5.447,13.604,13.583,4.993,16.274,12.149,20.839,15.514,12.806,98.127,32243.287,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,43993.485,0.566,0.493,303.486,1684.017,8925.457,8883.575,0.012,35068.015,27761630,27761118,29220,29220,27211913,27211913,27211904,27211913,0,0,549717,549205,0.5916658044,0.5916658044
6,4,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Igor_Trunov/Igor_Trunov_0001.jpg,False,False,0.9345557987689972,0.9345558286,86.23449754714966,57.03577256202698,29.19872498512268,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",30.83,9.37,71%,0:56.38,0,0,0,0,144172,0,0,61416,71065,42773,0,0,0,0,0,0,4096,0,not measured,not measured,846.032,910.87,735.391,17.513,14.037,4.379,15.4,14.122,6.575,15.176,11.697,19.333,14.03,12.35,89.123,31771.156,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,43620.712,0.644,0.522,34.097,1671.001,9065.571,9023.817,0.011,34555.13,27761630,27761118,29220,29220,27211913,27211913,27211913,27211913,0,0,549717,549205,0.9345558286,0.9345558286
7,5,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Robert_Witt/Robert_Witt_0002.jpg,False,False,0.8819523230195045,0.8819523454,85.2660059928894,56.19554376602173,29.07046222686768,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",30.57,9.1,71%,0:55.55,0,0,0,0,143960,0,0,61413,71323,47983,0,0,0,0,0,0,4096,0,not measured,not measured,850.844,913.369,717.685,19.677,14.392,6.754,13.506,13.481,5.512,17.49,12.118,19.276,13.64,12.378,99.446,30711.2000000001,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,42521.228,0.677,0.508,329.862,1690.355,9021.13,8978.695,0.012,33500.087,27761639,27761118,29211,29220,27211922,27211913,27211913,27211913,0,0,549717,549205,0.8819523454,0.8819523454
8,6,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Michael_Brandon/Michael_Brandon_0001.jpg,False,False,0.8647613525390625,0.8647614121,86.81229400634766,57.86963748931885,28.94265651702881,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",30.67,8.96,69%,0:57.24,0,0,0,0,147588,0,0,62308,70132,47353,0,0,0,0,0,0,4096,0,not measured,not measured,843.989,916.816,737.27,18.877,14.38,4.946,15.057,15.288,5.215,15.613,12.652,18.404,13.62,12.658,99.569,32580.4330000001,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,44394.84,0.611,0.502,85.231,1719.178,9005.675,8963.247,0.013,35389.153,27761630,27761118,29220,29220,27211913,27211913,27211913,27211913,0,0,549717,549205,0.8647614121,0.8647614121
9,7,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Liliana_Cavani/Liliana_Cavani_0001.jpg,False,False,0.7121172249317169,0.7121171951,87.33376049995422,57.62847471237183,29.7052857875824,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",31.11,9.34,70%,0:56.99,0,0,0,0,143668,0,0,61337,72274,47047,0,0,0,0,0,0,4096,0,not measured,not measured,847.96,929.56,735.216,20.003,16.368,6.18,13.895,13.652,6.933,15.271,12.249,19.68,15.781,14.218,96.846,32268.5019999999,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,44095.178,0.731,0.525,26.986,1683.538,8995.901,8954.218,0.012,35099.267,27761630,27761118,29220,29220,27211913,27211913,27211913,27211913,0,0,549717,549205,0.7121171951,0.7121171951
