,Unnamed: 0,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,ram_used,energy_used,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe.1
0,0,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0002.jpg,True,True,0.2064672729369681,0.2064672729,68.39860606193542,51.70095372200012,16.697652339935303,0,0,1876.063,2204.22,1541.519,23.186,18.207,10.123,24.247,21.337,5.931,25.917,21.113,27.757,24.257,20.878,111.355,14220.951,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,34379.022,0.319,0.31,14.059,2089.789,14119.529,14054.176,0.007,20259.483,98546478,98545454,49956,49956,96945321,96945321,96945321,96945321,0,0,1601157,1600133,0.2064672729,0.2064672729
1,1,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0003.jpg,True,True,0.4130865591337057,0.4130865591,68.10873699188232,51.3834753036499,16.725261688232422,0,0,1868.228,2189.917,1534.278,25.746,18.425,11.04,22.54,21.663,6.602,24.768,19.479,29.042,24.187,20.829,122.025,14090.568,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,34038.075,0.322,0.314,23.713,2077.594,13926.617,13862.395,0.007,20111.449,98546478,98545454,49956,49956,96945321,96945321,96945321,96945321,0,0,1601157,1600133,0.4130865591,0.4130865591
2,2,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0004.jpg,True,True,0.483093951538731,0.4830939515,68.10142707824707,51.37789440155029,16.723532676696777,0,0,1876.256,2188.93,1522.496,24.283,19.376,9.555,23.962,21.888,7.431,26.187,20.177,27.069,24.051,23.199,136.15,13938.562,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33975.531,0.322,0.308,21.95,2101.841,14008.131,13943.085,0.007,19967.39,98546478,98545454,49956,49956,96945321,96945321,96945321,96945321,0,0,1601157,1600133,0.4830939515,0.4830939515
3,3,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Augusto_Pinochet/Augusto_Pinochet_0001.jpg,False,False,0.8786946680979515,0.8786946681,67.86062812805176,51.14268159866333,16.717946529388428,0,0,1869.528,2192.027,1513.394,26.033,18.623,9.249,25.755,21.514,7.716,27.183,23.843,25.636,25.248,22.379,119.127,14229.035,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33802.545,0.334,0.321,13.083,2075.878,13569.174,13504.053,0.008,20233.361,98546487,98545454,49947,49956,96945330,96945321,96945321,96945321,0,0,1601157,1600133,0.8786946681,0.8786946681
4,4,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Robert_Hyatt/Robert_Hyatt_0001.jpg,False,False,0.8363322271044901,0.8363322271,68.0480523109436,51.23673987388611,16.811312437057495,0,0,1879.438,2202.312,1526.151,27.681,20.448,9.099,23.815,21.727,5.712,25.326,20.906,27.144,24.419,20.276,117.017,14166.452,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33873.428,0.345,0.319,23.151,2081.714,13674.848,13610.747,0.008,20198.569,98546487,98545454,49947,49956,96945330,96945321,96945321,96945321,0,0,1601157,1600133,0.8363322271,0.8363322271
5,5,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Jerry_Lewis/Jerry_Lewis_0001.jpg,False,False,0.9088969103512364,0.9088969104,67.92984127998352,51.27070665359497,16.65913462638855,0,0,1876.008,2199.127,1521.729,24.325,18.452,11.892,23.223,21.456,6.33,24.806,19.801,28.669,26.01,20.846,139.317,14103.481,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33922.36,0.315,0.306,22.59,2082.028,13776.437,13711.27,0.007,20145.913,98546487,98545454,49947,49956,96945330,96945321,96945321,96945321,0,0,1601157,1600133,0.9088969104,0.9088969104
6,0,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Aaron_Sorkin/Aaron_Sorkin_0002.jpg,True,True,0.393394703513807,0.3933947035,68.2926459312439,51.57296252250672,16.719683408737183,0,0,1879.667,2213.621,1533.983,25.812,18.718,8.853,21.877,21.09,6.098,24.853,20.185,27.078,25.037,21.684,127.76,14163.8490000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,34231.452,0.31,0.316,13.349,2107.592,14007.302,13943.234,0.007,20224.143,98546487,98545454,49947,49956,96945330,96945321,96945321,96945321,0,0,1601157,1600133,0.3933947035,0.3933947035
7,1,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Carl_Pope/Carl_Pope_0001.jpg,False,False,0.7599014291275632,0.7599014291,67.95971751213074,51.22305727005005,16.73666024208069,0,0,1865.493,2216.768,1525.689,27.74,19.203,8.246,25.784,22.678,6.603,27.178,20.297,31.283,26.012,20.667,128.766,14160.313,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,33846.689,0.323,0.311,23.522,2103.871,13630.865,13566.383,0.007,20215.811,98546487,98545454,49947,49956,96945330,96945321,96945321,96945321,0,0,1601157,1600133,0.7599014291,0.7599014291
8,0,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg,True,True,0.261090368001504,0.261090368,68.32764482498169,51.60907959938049,16.718565225601196,0,0,1875.442,2196.121,1527.608,23.756,18.13,11.547,23.469,22.267,4.938,26.551,19.789,28.32,25.896,20.331,134.832,14137.615,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,34162.258,0.308,0.308,22.703,2088.93,13982.084,13917.014,0.008,20180.165,98546487,98545454,49947,49956,96945330,96945321,96945321,96945321,0,0,1601157,1600133,0.261090368,0.261090368
9,1,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Roy_Rogers/Roy_Rogers_0001.jpg,False,False,0.9303528833279576,0.9303528833,68.16566848754883,51.42200994491577,16.743658542633057,0,0,1866.518,2195.567,1525.2,23.952,18.025,7.382,25.916,20.067,7.054,27.033,22.609,25.317,25.41,19.958,128.1,14148.2719999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,34050.486,0.376,0.311,13.545,2119.706,13884.664,13819.545,0.007,20165.813,98546487,98545454,49947,49956,96945330,96945321,96945321,96945321,0,0,1601157,1600133,0.9303528833,0.9303528833
