,Unnamed: 0,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status,energy_client,energy_server,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe.1
0,0,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0001.jpg,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0002.jpg,True,True,0.4069041609764099,0.4069042802,32.980080366134644,17.03310751914978,15.946972846984863,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",14.26,4.88,115%,0:16.58,0,0,0,0,139292,0,0,60470,67133,18475,0,0,0,0,0,0,4096,0,19.85445137858391,17.49611764344454,430.991,477.576,329.071,8.835,7.871,3.346,7.363,6.071,2.181,9.702,5.942,9.885,8.151,7.499,41.762,5111.744,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,10594.409,0.292,0.276,12.891,136.865,4096.923,4074.805,0.009,6497.479,19986910,19986398,10532,10532,19437193,19437193,19437193,19437193,0,0,549717,549205,0.4069042802,0.4069042802
1,1,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0001.jpg,lfw/Lynne_Thigpen/Lynne_Thigpen_0001.jpg,False,False,1.0343808494508266,1.0343807936,33.06382942199707,17.01673173904419,16.04709768295288,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",14.23,4.82,114%,0:16.61,0,0,0,0,139348,0,0,60471,64312,12299,0,0,0,0,0,0,4096,0,20.73424943743944,19.46347529768944,429.86,474.258,332.537,9.229,7.948,2.876,7.312,6.321,1.878,8.276,6.304,9.225,8.014,7.373,44.554,5174.083,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,10632.053,0.293,0.292,17.032,137.353,4073.486,4051.38,0.009,6558.559,19986910,19986398,10532,10532,19437193,19437193,19437184,19437193,0,0,549717,549205,1.0343807936,1.0343807936
2,0,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0002.jpg,True,True,0.4856290221214294,0.4856290817,33.142173051834106,17.094371795654297,16.04780125617981,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",14.06,5.08,114%,0:16.71,0,0,0,0,139096,0,0,60413,67968,21283,0,0,0,0,0,0,4096,0,18.86555392158509,19.67545800315857,428.189,481.27,332.573,10.657,8.023,3.072,8.455,6.282,2.13,7.72,6.328,9.178,8.524,6.806,43.139,5261.551,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,10752.222,0.349,0.291,35.861,134.995,4099.581,4077.603,0.009,6652.634,19986910,19986398,10532,10532,19437193,19437193,19437193,19437193,0,0,549717,549205,0.4856290817,0.4856290817
3,1,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0003.jpg,True,True,0.4750053882598877,0.4750053287,33.07204246520996,17.08833956718445,15.983702898025513,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",14.19,5.12,115%,0:16.66,0,0,0,0,139200,0,0,60467,68470,19836,0,0,0,0,0,0,4096,0,20.068831866395477,17.91957535902262,434.476,479.269,332.65,9.92,7.845,3.348,8.128,7.603,2.126,7.367,6.346,9.979,8.018,7.452,51.196,5167.617,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,10694.305,0.414,0.301,10.761,134.996,4120.526,4098.525,0.009,6573.772,19986910,19986398,10532,10532,19437193,19437193,19437184,19437193,0,0,549717,549205,0.4750053287,0.4750053287
4,2,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0004.jpg,False,True,0.6170364916324615,0.6170364618,32.959603786468506,16.938796758651733,16.020807027816772,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",14.14,5.0,115%,0:16.51,0,0,0,0,139308,0,1,60468,68322,21245,0,0,0,0,0,0,4096,0,20.144192432160374,23.2865314603734,430.175,482.447,332.497,9.259,8.643,2.861,9.593,6.47,1.734,7.842,5.783,11.705,8.937,7.745,52.163,5137.438,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,10624.105,0.433,0.313,17.743,134.968,4079.708,4057.839,0.009,6544.389,19986910,19986398,10532,10532,19437193,19437193,19437193,19437193,0,0,549717,549205,0.6170364618,0.6170364618
5,3,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0005.jpg,True,True,0.5916659235954285,0.5916659832,32.99956822395325,17.022852420806885,15.976715803146362,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",14.24,4.94,115%,0:16.61,0,0,0,0,139288,0,0,60470,66383,16551,0,0,0,0,0,0,4096,0,17.41458115160465,20.09443512375928,432.509,476.122,331.757,10.498,7.966,3.299,7.631,6.342,1.819,7.223,6.296,9.838,8.701,7.229,47.064,5179.135,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,10677.569,0.322,0.295,8.632,136.867,4104.27,4082.397,0.009,6573.294,19986910,19986398,10532,10532,19437193,19437193,19437184,19437193,0,0,549717,549205,0.5916659832,0.5916659832
6,4,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Tony_Shalhoub/Tony_Shalhoub_0004.jpg,False,False,1.0081008654087782,1.0081008673,32.973180532455444,16.98350429534912,15.989676237106323,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",14.07,5.14,116%,0:16.55,0,0,0,0,139224,0,0,60467,68675,19939,0,0,0,0,0,0,4096,0,19.04129401800156,19.25324759962654,432.202,478.218,334.478,8.681,7.611,2.973,8.136,6.451,2.013,8.783,6.407,11.39,7.328,7.693,45.457,5139.766,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,10620.511,0.336,0.29,16.849,134.492,4082.255,4060.462,0.007,6538.25,19986910,19986398,10532,10532,19437193,19437193,19437193,19437193,0,0,549717,549205,1.0081008673,1.0081008673
7,5,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Takeshi_Kitano/Takeshi_Kitano_0001.jpg,False,False,0.9734922591596842,0.9734922647,32.978721618652344,16.942986726760864,16.03573489189148,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",14.09,5.07,116%,0:16.52,0,0,0,0,139172,0,0,60466,68219,20011,0,0,0,0,0,0,4096,0,18.786486532785894,20.492254508952144,430.623,479.374,329.617,9.812,8.05,3.62,7.518,6.285,1.808,6.934,5.883,8.739,8.042,7.137,42.285,5147.594,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,10610.828,0.292,0.277,47.995,134.448,4079.366,4057.608,0.008,6531.455,19986919,19986398,10523,10532,19437202,19437193,19437193,19437193,0,0,549717,549205,0.9734922647,0.9734922647
8,6,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/T_Boone_Pickens/T_Boone_Pickens_0001.jpg,False,False,0.7956988960504532,0.7956989408,33.17519211769104,17.13845944404602,16.03673267364502,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",14.15,5.12,115%,0:16.68,0,0,0,0,139172,0,0,60471,68058,22262,0,0,0,0,0,0,4096,0,17.16442417190075,20.864978252296687,431.47,483.213,333.097,10.071,7.884,3.053,8.479,6.705,2.072,7.946,5.499,10.373,8.148,7.466,43.524,5212.687,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,10709.995,0.316,0.276,16.664,134.616,4098.889,4077.255,0.008,6611.099,19986910,19986398,10532,10532,19437193,19437193,19437193,19437193,0,0,549717,549205,0.7956989408,0.7956989408
9,0,lfw/Aicha_El_Ouafi/Aicha_El_Ouafi_0001.jpg,lfw/Aicha_El_Ouafi/Aicha_El_Ouafi_0002.jpg,True,True,0.3585660457611084,0.3585658669,32.94113516807556,16.984951496124268,15.956183671951294,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 80 -x 0""",14.17,4.99,115%,0:16.57,0,0,0,0,139212,0,0,60464,66885,19178,0,0,0,0,0,0,4096,0,20.22785479720593,21.06241050148058,436.604,479.167,339.566,10.313,8.077,3.248,8.613,6.12,1.896,7.755,6.593,11.085,8.849,7.802,49.966,5147.171,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,10639.613,0.322,0.298,69.533,135.154,4076.855,4055.081,0.009,6562.75,19986910,19986398,10532,10532,19437193,19437193,19437193,19437193,0,0,549717,549205,0.3585658669,0.3585658669
