,Unnamed: 0,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,ram_used,energy_used,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe.1
0,0,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0002.jpg,True,True,0.2064672729369681,0.2064672729,125.63943767547607,81.49782538414001,44.14161229133606,0,0,2102.61,2417.237,1722.577,33.057,24.099,13.118,28.762,21.75,10.515,31.073,19.661,27.031,24.053,24.277,152.516,40721.967,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,67263.803,0.593,0.56,244.598,129.799,19801.932,19734.72,0.008,47461.861,62192430,62191406,10532,10532,60591273,60591273,60591273,60591273,0,0,1601157,1600133,0.2064672729,0.2064672729
1,1,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0003.jpg,True,True,0.4130865591337057,0.4130865591,97.17176938056946,82.23659253120422,14.935176849365234,0,0,2068.56,2402.161,1721.209,35.202,24.529,14.88,25.965,22.075,11.221,27.867,19.025,25.152,23.292,22.533,145.118,40755.0260000002,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,67745.225,0.31,0.316,323.567,139.271,20310.245,20229.542,0.008,47434.969,62192430,62191406,10532,10532,60591273,60591273,60591273,60591273,0,0,1601157,1600133,0.4130865591,0.4130865591
2,2,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0004.jpg,True,True,0.483093951538731,0.4830939515,96.6852777004242,81.77897644042969,14.906301259994509,0,0,2077.628,2407.872,1754.774,32.717,24.538,13.653,25.077,20.312,10.651,29.954,19.961,23.449,22.834,21.606,140.922,40800.5779999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,67564.418,0.372,0.33,44.852,129.728,20046.782,19986.579,0.008,47517.626,62192430,62191406,10532,10531,60591273,60591273,60591273,60591273,0,0,1601157,1600133,0.4830939515,0.4830939515
3,3,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Dave_McNally/Dave_McNally_0001.jpg,False,False,0.9440236196218618,0.9440236196,96.95302104949953,82.01560163497925,14.937419414520264,0,0,2072.771,2413.541,1690.289,34.167,24.594,9.903,27.789,21.721,9.566,28.573,19.485,23.903,21.908,23.035,142.675,40977.8179999998,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,67722.942,0.432,0.312,115.189,138.727,20092.004,20029.334,0.008,47630.928,62192439,62191406,10523,10523,60591282,60591273,60591273,60591273,0,0,1601157,1600133,0.9440236196,0.9440236196
4,4,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Horacio_de_Jesus_Montoya/Horacio_de_Jesus_Montoya_0001.jpg,False,False,0.9830802545130686,0.9830802545,96.89476251602171,82.02094388008118,14.873818635940552,0,0,2077.479,2408.313,1732.944,33.575,25.465,15.381,24.623,22.131,9.488,29.796,20.14,25.102,21.7,23.728,148.643,40727.107,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,67779.863,0.376,0.356,21.936,147.544,20349.811,20291.79,0.008,47430.042,62192439,62191406,10523,10532,60591282,60591273,60591265,60591273,0,0,1601157,1600133,0.9830802545,0.9830802545
5,5,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Ludivine_Sagnier/Ludivine_Sagnier_0002.jpg,False,False,0.9184969575372536,0.9184969575,96.85334777832033,81.94215703010559,14.911190748214722,0,0,2054.905,2405.107,1704.749,31.145,23.262,13.407,25.034,21.479,9.384,27.829,20.221,25.201,21.126,22.201,139.92,40823.5309999998,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,67627.892,0.347,0.341,61.839,127.032,20176.628,20118.674,0.007,47451.254,62192439,62191406,10523,10532,60591282,60591273,60591273,60591273,0,0,1601157,1600133,0.9184969575,0.9184969575
6,0,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Aaron_Sorkin/Aaron_Sorkin_0002.jpg,True,True,0.393394703513807,0.3933947035,96.98724699020386,82.12219405174255,14.865052938461304,0,0,2072.139,2405.474,1717.018,31.303,23.543,11.413,26.118,21.913,9.741,26.636,19.963,23.038,22.312,23.036,141.098,40682.655,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,67840.987,0.361,0.334,195.878,125.596,20492.437,20424.204,0.008,47348.539,62192439,62191406,10523,10532,60591282,60591273,60591273,60591273,0,0,1601157,1600133,0.3933947035,0.3933947035
7,1,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Sheila_Copps/Sheila_Copps_0003.jpg,False,False,0.759932431574292,0.7599324316,97.0532693862915,82.12446928024292,14.928800106048584,0,0,2080.142,2414.978,1753.367,33.027,22.052,13.735,23.953,20.922,9.251,27.989,19.9,23.596,23.513,24.078,156.534,40439.4970000001,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,67865.177,0.316,0.315,194.459,132.843,20690.266,20619.34,0.008,47174.9,62192439,62191406,10523,10532,60591282,60591273,60591273,60591273,0,0,1601157,1600133,0.7599324316,0.7599324316
8,0,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg,False,True,0.261090368001504,2.073992681031311e+143,97.30141186714172,82.2752103805542,15.026201486587524,0,0,2070.498,2404.999,1707.64,32.223,23.601,11.931,23.32,21.487,8.78,30.032,21.548,24.952,21.719,22.994,144.329,40451.6749999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,68014.196,0.327,0.317,25.569,137.615,20899.209,20834.673,0.007,47114.979,62192430,62191406,10532,10532,60591273,60591273,60591265,60591273,0,0,1601157,1600133,0.261090368,2.073992681031311e+143
9,1,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Anna_Faris/Anna_Faris_0001.jpg,False,False,0.7909998945766907,0.7909998946,97.36617469787598,82.34376549720764,15.022409200668337,0,0,2073.595,2415.019,1721.808,30.127,23.209,11.139,25.049,21.594,9.818,29.902,20.127,25.258,21.345,24.886,144.176,40826.47,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,68065.75,0.322,0.324,31.377,155.058,20552.053,20492.72,0.008,47513.689,62192439,62191406,10523,10532,60591282,60591273,60591265,60591273,0,0,1601157,1600133,0.7909998946,0.7909998946
