,Unnamed: 0,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,ram_used,energy_used,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe.1
0,0,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0002.jpg,True,True,0.2064672729369681,0.2064672729,64.51242971420288,47.732428550720215,16.780001163482666,0,0,1892.087,2245.249,1533.682,26.599,18.352,8.702,25.92,21.655,6.75,25.442,20.901,27.771,23.322,20.946,124.443,14126.681,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32266.553,0.499,0.329,23.302,198.824,12034.367,11968.975,0.009,20232.123,62192448,62191424,10834,10833,60591291,60591291,60591273,60591291,0,0,1601157,1600133,0.2064672729,0.2064672729
1,1,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0003.jpg,True,True,0.4130865591337057,0.4130865591,64.48777961730957,47.75412702560425,16.733652591705322,0,0,1890.439,2214.753,1508.013,25.218,18.852,8.837,23.611,21.962,6.991,24.864,22.205,27.932,25.505,19.645,134.09,14067.767,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32232.797,0.467,0.324,18.303,202.476,12107.889,12040.894,0.009,20124.899,62192448,62191424,10834,10834,60591291,60591291,60591291,60591291,0,0,1601157,1600133,0.4130865591,0.4130865591
2,2,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0004.jpg,True,True,0.483093951538731,0.4830939515,64.7129020690918,47.91373157501221,16.79917049407959,0,0,1887.528,2210.34,1539.989,25.208,18.56,9.03,25.42,20.745,5.09,24.596,20.03,27.694,23.772,20.519,126.831,14103.4569999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32255.518,0.431,0.333,20.042,201.62,12081.584,12016.328,0.008,20173.922,62192448,62191424,10833,10833,60591291,60591291,60591273,60591291,0,0,1601157,1600133,0.4830939515,0.4830939515
3,3,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Danny_Ainge/Danny_Ainge_0001.jpg,False,False,0.8211801747157815,0.8211801747,64.60002756118774,47.82053399085999,16.77949357032776,0,0,1881.87,2221.264,1518.074,26.715,18.438,9.17,25.109,20.545,6.238,24.72,22.005,26.652,24.776,20.257,135.413,14105.7649999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32317.142,0.508,0.333,19.569,203.291,12148.128,12078.162,0.008,20169.002,62192448,62191424,10834,10834,60591291,60591291,60591291,60591291,0,0,1601157,1600133,0.8211801747,0.8211801747
4,4,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Helio_Rubens_Garcia/Helio_Rubens_Garcia_0001.jpg,False,False,0.9233779648694918,0.9233779649,64.71742463111877,48.019243478775024,16.69818115234375,0,0,1888.047,2225.113,1549.561,21.618,18.909,9.446,25.7,20.868,5.167,27.157,22.639,28.879,25.128,21.294,135.705,14029.255,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32213.09,0.443,0.333,15.647,198.709,12079.582,12013.953,0.007,20133.5,62192448,62191424,10833,10833,60591291,60591291,60591273,60591291,0,0,1601157,1600133,0.9233779649,0.9233779649
5,5,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Mike_Johanns/Mike_Johanns_0001.jpg,False,False,0.9693912595549148,0.9693912596,64.59123349189758,47.79468250274658,16.796550989151,0,0,1894.514,2246.026,1523.586,26.374,18.343,9.864,24.144,21.73,5.996,27.638,21.668,26.648,23.67,23.071,123.37,14009.942,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32173.275,0.495,0.332,16.0,208.504,12056.36,11990.425,0.008,20116.896,62192448,62191424,10833,10833,60591291,60591291,60591291,60591291,0,0,1601157,1600133,0.9693912596,0.9693912596
6,0,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Aaron_Sorkin/Aaron_Sorkin_0002.jpg,True,True,0.393394703513807,0.3933947035,65.07996320724487,48.335750102996826,16.744213104248047,0,0,1918.623,2251.27,1562.585,23.149,17.663,7.904,26.716,21.829,6.2,24.16,22.613,28.29,25.254,22.149,124.005,14125.16,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32383.126,0.441,0.326,22.598,202.312,12091.296,12022.387,0.008,20291.821,62192448,62191424,10834,10834,60591291,60591291,60591273,60591291,0,0,1601157,1600133,0.3933947035,0.3933947035
7,1,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Fatma_Kusibeh/Fatma_Kusibeh_0001.jpg,False,False,0.6586776251983655,0.6586776252,64.7152488231659,48.02751517295837,16.68773365020752,0,0,1888.592,2228.396,1524.931,23.778,18.412,8.686,25.439,20.445,6.171,26.685,20.005,26.976,22.786,20.405,128.66,14156.559,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32202.917,0.491,0.331,19.752,216.298,11968.17,11902.15,0.009,20234.738,62192448,62191424,10833,10834,60591291,60591291,60591273,60591291,0,0,1601157,1600133,0.6586776252,0.6586776252
8,0,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg,True,True,0.261090368001504,0.261090368,65.0129771232605,48.26297211647034,16.75000500679016,0,0,1909.681,2261.817,1537.769,25.432,18.524,9.646,24.985,21.221,7.002,26.879,22.367,26.96,23.545,22.964,120.273,14164.7049999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32489.711,0.433,0.32,13.112,212.984,12180.816,12112.006,0.008,20308.882,62192448,62191424,10834,10834,60591291,60601380,60591291,60591291,0,0,1601157,1590044,0.261090368,0.261090368
9,1,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Griffin_Colvin/Griffin_Colvin_0001.jpg,False,False,0.932160099445752,0.9321600994,64.73669147491455,48.00357866287232,16.733112812042236,0,0,1893.225,2243.771,1521.229,24.171,18.777,9.27,24.257,21.633,5.574,28.368,21.567,31.267,23.856,21.438,137.318,14098.224,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,32263.033,0.547,0.329,22.121,200.521,12059.163,11991.039,0.008,20203.859,62192448,62191424,10834,10833,60591291,60591292,60591273,60591291,0,0,1601157,1600132,0.9321600994,0.9321600994
