,Unnamed: 0,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,ram_used,energy_used,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe.1
0,0,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0002.jpg,True,True,0.2064672729369681,0.2064672729,97.7310028076172,82.6769392490387,15.054063558578491,0,0,2088.939,2444.539,1707.326,33.996,22.554,11.781,24.678,19.428,11.494,29.304,20.364,21.653,23.069,23.275,166.897,40931.932,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,67997.313,0.438,0.299,22.202,224.136,20323.277,20262.427,0.01,47674.025,62192448,62191424,10833,10834,60591291,60591291,60591291,60591291,0,0,1601157,1600133,0.2064672729,0.2064672729
1,1,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0003.jpg,True,True,0.4130865591337057,0.4130865591,97.86813235282898,82.65099668502808,15.217135667800903,0,0,2110.915,2413.295,1780.118,32.881,23.949,12.783,26.39,21.245,11.245,30.06,20.242,22.903,20.656,24.724,142.621,40454.6560000002,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,67623.085,0.403,0.299,25.266,226.454,20376.172,20311.244,0.008,47246.898,62192448,62191424,10834,10833,60591291,60591300,60591291,60591291,0,0,1601157,1600124,0.4130865591,0.4130865591
2,2,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Aaron_Peirsol/Aaron_Peirsol_0004.jpg,True,True,0.483093951538731,0.4830939515,98.2183928489685,82.90082907676697,15.317563772201538,0,0,2064.511,2397.47,1723.598,33.775,23.539,15.3,26.299,20.297,9.799,26.332,19.568,23.496,22.195,23.275,146.509,41156.1510000002,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,68246.477,0.403,0.303,25.835,232.005,20420.225,20355.901,0.01,47826.223,62192448,62191424,10834,10833,60591291,60591300,60591291,60591291,0,0,1601157,1600124,0.4830939515,0.4830939515
3,3,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Frank_Marshall/Frank_Marshall_0001.jpg,False,False,0.9878413626212158,0.9878413626,98.20774817466736,82.90094685554504,15.306801319122314,0,0,2095.328,2430.329,1749.862,31.856,24.156,13.56,24.529,20.892,8.849,30.684,19.565,27.937,24.851,21.61,157.384,40980.397,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,68246.172,0.401,0.295,24.737,233.446,20493.616,20424.974,0.007,47752.545,62192448,62191424,10834,10833,60591291,60591300,60591291,60591291,0,0,1601157,1600124,0.9878413626,0.9878413626
4,4,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Horace_Newcomb/Horace_Newcomb_0001.jpg,False,False,1.0553005294792812,1.0553005295,97.91487646102904,82.54266452789307,15.372211933135986,0,0,2087.286,2407.251,1706.525,33.548,22.433,11.233,25.581,20.827,10.157,30.237,21.063,22.488,22.497,23.546,154.204,40747.0449999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,67852.152,0.365,0.318,18.602,215.778,20418.639,20352.295,0.013,47433.503,62192448,62191424,10834,10833,60591291,60591300,60591291,60591291,0,0,1601157,1600124,1.0553005295,1.0553005295
5,5,lfw/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,lfw/Elisabeth_Welch/Elisabeth_Welch_0001.jpg,False,False,0.8289809329543554,0.828980933,98.08649730682372,82.90038061141968,15.186116695404053,0,0,2069.59,2403.937,1735.343,34.918,22.29,12.574,23.252,20.933,9.209,34.275,20.754,23.833,20.289,23.145,146.046,40770.2249999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,68253.672,0.383,0.295,31.965,213.746,20788.19,20720.828,0.008,47465.472,62192448,62191424,10834,10834,60591291,60591300,60591291,60591291,0,0,1601157,1600124,0.828980933,0.828980933
6,0,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Aaron_Sorkin/Aaron_Sorkin_0002.jpg,True,True,0.393394703513807,0.3933947035,98.01094436645508,82.88630104064941,15.124643325805664,0,0,2073.956,2423.825,1753.413,34.071,23.555,10.715,22.691,19.856,8.53,25.904,20.974,23.618,20.717,21.964,151.23,41173.7950000002,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,68324.669,0.419,0.301,89.688,203.44,20424.408,20363.592,0.009,47900.251,62192448,62191424,10833,10833,60591291,60591291,60591291,60591291,0,0,1601157,1600133,0.3933947035,0.3933947035
7,1,lfw/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,lfw/Gillian_Anderson/Gillian_Anderson_0001.jpg,False,False,0.915042760747215,0.9150427607,98.07071685791016,82.92444467544556,15.1462721824646,0,0,2101.276,2405.229,1755.275,33.269,24.146,11.739,26.896,21.749,10.756,28.871,19.459,24.312,23.783,25.433,160.216,40944.407,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,68185.53,0.42,0.305,26.148,211.669,20479.148,20411.81,0.007,47706.372,62192448,62191424,10834,10834,60591291,60591300,60591291,60591291,0,0,1601157,1600124,0.9150427607,0.9150427607
8,0,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg,True,True,0.261090368001504,0.261090368,97.79939579963684,82.59674501419067,15.202650785446169,0,0,2092.681,2413.992,1690.59,34.711,23.886,10.441,23.608,19.73,7.687,27.723,20.165,22.137,21.172,22.304,157.286,40920.1529999999,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,68111.383,0.372,0.3,22.482,209.369,20509.104,20443.74,0.007,47602.271,62192448,62191424,10833,10833,60591291,60591300,60591291,60591291,0,0,1601157,1600124,0.261090368,0.261090368
9,1,lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,lfw/Bill_Simon/Bill_Simon_0014.jpg,False,False,1.092724937273933,1.0927249373,98.38740348815918,83.12305569648743,15.264347791671751,0,0,2081.568,2417.035,1730.109,34.104,22.779,11.228,26.442,22.346,10.164,28.895,19.255,21.953,22.404,21.89,157.322,40967.6889999998,5971636,10918,5971636,5971636,5892966,1383450,0,0,0,24576,0,0,0,0,0,0,0,0,1,3163722,10918,68184.006,0.423,0.301,26.008,226.418,20494.774,20429.871,0.008,47689.221,62192448,62191424,10833,10834,60591291,60591291,60591291,60591291,0,0,1601157,1600133,1.0927249373,1.0927249373
